Code Pays,Pays,Élément,Produit,Valeur
2,Afghanistan,Importations - Quantité(Tonnes),Viande de Volailles,29000.0
2,Afghanistan,Disponibilité intérieure(Tonnes),Viande de Volailles,57000.0
2,Afghanistan,Disponibilité alimentaire en quantité (kg/personne/an),Viande de Volailles,1.53
202,Afrique du Sud,Importations - Quantité(Tonnes),Viande de Volailles,514000.0
202,Afrique du Sud,Exportations - Quantité(Tonnes),Viande de Volailles,63000.0
202,Afrique du Sud,Disponibilité intérieure(Tonnes),Viande de Volailles,2118000.0
202,Afrique du Sud,Disponibilité alimentaire en quantité (kg/personne/an),Viande de Volailles,35.69
3,Albanie,Importations - Quantité(Tonnes),Viande de Volailles,38000.0
3,Albanie,Exportations - Quantité(Tonnes),Viande de Volailles,0.0
3,Albanie,Disponibilité intérieure(Tonnes),Viande de Volailles,47000.0
3,Albanie,Disponibilité alimentaire en quantité (kg/personne/an),Viande de Volailles,16.36
4,Algérie,Importations - Quantité(Tonnes),Viande de Volailles,2000.0
4,Algérie,Exportations - Quantité(Tonnes),Viande de Volailles,0.0
4,Algérie,Disponibilité intérieure(Tonnes),Viande de Volailles,277000.0
4,Algérie,Disponibilité alimentaire en quantité (kg/personne/an),Viande de Volailles,6.38
79,Allemagne,Importations - Quantité(Tonnes),Viande de Volailles,842000.0
79,Allemagne,Exportations - Quantité(Tonnes),Viande de Volailles,646000.0
79,Allemagne,Disponibilité intérieure(Tonnes),Viande de Volailles,1739000.0
79,Allemagne,Disponibilité alimentaire en quantité (kg/personne/an),Viande de Volailles,19.47
7,Angola,Importations - Quantité(Tonnes),Viande de Volailles,277000.0
7,Angola,Exportations - Quantité(Tonnes),Viande de Volailles,0.0
7,Angola,Disponibilité intérieure(Tonnes),Viande de Volailles,319000.0
7,Angola,Disponibilité alimentaire en quantité (kg/personne/an),Viande de Volailles,10.56
8,Antigua-et-Barbuda,Importations - Quantité(Tonnes),Viande de Volailles,7000.0
8,Antigua-et-Barbuda,Exportations - Quantité(Tonnes),Viande de Volailles,0.0
8,Antigua-et-Barbuda,Disponibilité intérieure(Tonnes),Viande de Volailles,7000.0
8,Antigua-et-Barbuda,Disponibilité alimentaire en quantité (kg/personne/an),Viande de Volailles,54.1
194,Arabie saoudite,Importations - Quantité(Tonnes),Viande de Volailles,722000.0
194,Arabie saoudite,Exportations - Quantité(Tonnes),Viande de Volailles,10000.0
194,Arabie saoudite,Disponibilité intérieure(Tonnes),Viande de Volailles,1435000.0
194,Arabie saoudite,Disponibilité alimentaire en quantité (kg/personne/an),Viande de Volailles,43.36
9,Argentine,Importations - Quantité(Tonnes),Viande de Volailles,8000.0
9,Argentine,Exportations - Quantité(Tonnes),Viande de Volailles,207000.0
9,Argentine,Disponibilité intérieure(Tonnes),Viande de Volailles,1962000.0
9,Argentine,Disponibilité alimentaire en quantité (kg/personne/an),Viande de Volailles,42.24
1,Arménie,Importations - Quantité(Tonnes),Viande de Volailles,35000.0
1,Arménie,Exportations - Quantité(Tonnes),Viande de Volailles,0.0
1,Arménie,Disponibilité intérieure(Tonnes),Viande de Volailles,47000.0
1,Arménie,Disponibilité alimentaire en quantité (kg/personne/an),Viande de Volailles,16.06
10,Australie,Importations - Quantité(Tonnes),Viande de Volailles,16000.0
10,Australie,Exportations - Quantité(Tonnes),Viande de Volailles,42000.0
10,Australie,Disponibilité intérieure(Tonnes),Viande de Volailles,1171000.0
10,Australie,Disponibilité alimentaire en quantité (kg/personne/an),Viande de Volailles,47.65
11,Autriche,Importations - Quantité(Tonnes),Viande de Volailles,110000.0
11,Autriche,Exportations - Quantité(Tonnes),Viande de Volailles,78000.0
11,Autriche,Disponibilité intérieure(Tonnes),Viande de Volailles,173000.0
11,Autriche,Disponibilité alimentaire en quantité (kg/personne/an),Viande de Volailles,18.2
52,Azerbaïdjan,Importations - Quantité(Tonnes),Viande de Volailles,27000.0
52,Azerbaïdjan,Exportations - Quantité(Tonnes),Viande de Volailles,0.0
52,Azerbaïdjan,Disponibilité intérieure(Tonnes),Viande de Volailles,129000.0
