iso3,Pays,Continent,Population,PIB (US$)/hab,Disponibilité alimentaire en quantité (kg/personne/an),Exportations - Quantité(Tonnes),Importations - Quantité(Tonnes),distance
AFG,Afghanistan,Asie,36296113.0,519.884773089339,1.53,0.0,29000.0,5590.381
ZAF,Afrique du Sud,Afrique,57009756.0,6131.47944960886,35.69,63000.0,514000.0,9353.552
ALB,Albanie,Europe,2884169.0,4531.02080555986,16.36,0.0,38000.0,1603.534
DZA,Algérie,Afrique,41389189.0,4111.29411013269,6.38,0.0,2000.0,1340.39
DEU,Allemagne,Europe,82658409.0,44552.8193719078,19.47,646000.0,842000.0,439.8984
AGO,Angola,Afrique,29816766.0,4095.81294155857,10.56,0.0,277000.0,6510.322
ATG,Antigua-et-Barbuda,Amérique,95426.0,15383.4151884998,54.1,0.0,7000.0,6708.77
SAU,Arabie saoudite,Asie,33101179.0,20803.7459178785,43.36,10000.0,722000.0,4694.5
ARG,Argentine,Amérique,43937140.0,14613.0418246696,42.24,207000.0,8000.0,11072.25
ARM,Arménie,Asie,2944791.0,3914.5012684128,16.06,0.0,35000.0,3434.071
AUS,Australie,Océanie,24584620.0,54027.9668184568,47.65,42000.0,16000.0,16975.46
AUT,Autriche,Europe,8819901.0,47426.5119597773,18.2,78000.0,110000.0,1035.144
AZE,Azerbaïdjan,Asie,9845320.0,4147.08971569171,13.11,0.0,27000.0,3817.547
BHS,Bahamas,Amérique,381755.0,32718.6381008013,43.17,0.0,24000.0,7209.45
BGD,Bangladesh,Asie,159685424.0,1563.91369862485,1.5,0.0,0.0,7916.79
BRB,Barbade,Amérique,286232.0,17391.4258663397,46.78,0.0,2000.0,6882.34
BEL,Belgique,Europe,11419748.0,44192.6230270333,12.65,656000.0,338000.0,262.3845
BLZ,Belize,Amérique,375769.0,4887.5772083381,25.69,0.0,0.0,8664.439
BOL,Bolivie (État plurinational de),Amérique,11192855.0,3351.1240444427,36.0,1000.0,1000.0,10038.45
BIH,Bosnie-Herzégovine,Europe,3351525.0,5394.59122017677,16.7,8000.0,10000.0,1352.463
BWA,Botswana,Afrique,2205080.0,7893.23253363666,3.39,0.0,3000.0,8522.764
BRA,Brésil,Amérique,207833823.0,9925.38623770041,48.03,4223000.0,3000.0,9408.406
BGR,Bulgarie,Europe,7102444.0,8334.08172775332,22.06,45000.0,108000.0,1760.707
BFA,Burkina Faso,Afrique,19193234.0,734.994429826895,2.27,0.0,0.0,4082.87
BLR,Bélarus,Europe,9450231.0,5761.74712023007,27.98,152000.0,21000.0,1823.709
BEN,Bénin,Afrique,11175198.0,1136.59284704681,14.4,0.0,123000.0,4726.537
CPV,Cabo Verde,Afrique,537498.0,3292.64575457372,17.62,0.0,12000.0,4452.386
KHM,Cambodge,Asie,16009409.0,1385.2599796333,2.34,0.0,10000.0,9947.79
CMR,Cameroun,Afrique,24566073.0,1425.10781805333,3.16,0.0,0.0,5085.718
CAN,Canada,Amérique,36732095.0,45146.1139998138,39.02,163000.0,182000.0,6004.645
CHL,Chili,Amérique,18470439.0,14999.3700885512,36.36,115000.0,155000.0,11663.39
HKG,Chine - RAS de Hong-Kong,Asie,7306322.0,46165.8565115953,53.51,663000.0,907000.0,9639.476
MAC,Chine - RAS de Macao,Asie,622585.0,81516.6749248075,34.47,0.0,23000.0,9601.923
CHN,"Chine, continentale",Asie,1421021791.0,8879.43866711346,12.33,576000.0,452000.0,8225.232
CYP,Chypre,Asie,1179678.0,26338.6943443136,25.08,1000.0,14000.0,2954.551
COL,Colombie,Amérique,48909839.0,6376.70671552601,31.99,2000.0,78000.0,8707.677
COG,Congo,Afrique,5110695.0,2191.22043789319,21.53,0.0,104000.0,6041.018
CRI,Costa Rica,Amérique,4949954.0,11814.6265687665,26.52,3000.0,17000.0,8919.449
HRV,Croatie,Europe,4182857.0,13451.6249479152,10.77,17000.0,24000.0,1081.762
CUB,Cuba,Amérique,11339254.0,8541.2106734664,23.72,0.0,312000.0,7729.485
CIV,Côte d'Ivoire,Afrique,24437470.0,2111.02707557541,2.53,0.0,7000.0,4884.159
DNK,Danemark,Europe,5732274.0,57610.0981801136,28.98,139000.0,133000.0,1027.609
DJI,Djibouti,Afrique,944099.0,2914.38385631251,2.68,0.0,3000.0,5595.459
DMA,Dominique,Amérique,71458.0,7274.72133332919,35.19,0.0,4000.0,6826.396
SLV,El Salvador,Amérique,6388126.0,3910.25719295906,20.43,2000.0,16000.0,8984.298
ESP,Espagne,Europe,46647428.0,28170.1678643302,30.39,212000.0,205000.0,1054.656
EST,Estonie,Europe,1319390.0,20458.4607286705,21.26,11000.0,21000.0,1859.091
SWZ,Eswatini,Afrique,1124805.0,3914.61325245175,6.46,0.0,2000.0,8846.426
FJI,Fidji,Océanie,877459.0,6101.03083866498,28.02,0.0,3000.0,16595.08
FIN,Finlande,Europe,5511371.0,46336.6632530127,18.76,12000.0,16000.0,1911.138
RUS,Fédération de Russie,Asie,145530082.0,10720.3325853448,30.98,115000.0,226000.0,2494.316
GAB,Gabon,Afrique,2064823.0,7230.39639268426,29.33,0.0,76000.0,5438.787
GMB,Gambie,Afrique,2213889.0,679.756913965828,3.53,0.0,16000.0,4308.25
GHA,Ghana,Afrique,29121465.0,2025.93242386751,7.24,0.0,151000.0,4827.292
GRD,Grenade,Amérique,110874.0,10152.8328118872,45.7,0.0,7000.0,7120.287
GRC,Grèce,Europe,10569450.0,18930.2186276597,15.32,29000.0,79000.0,2098.726
GTM,Guatemala,Amérique,16914970.0,4451.45098144235,20.58,7000.0,129000.0,9001.048
GIN,Guinée,Afrique,12067519.0,855.573639877367,4.08,0.0,37000.0,4691.556
GNB,Guinée-Bissau,Afrique,1828145.0,738.549944890782,2.16,0.0,4000.0,4440.633
GUY,Guyana,Amérique,775222.0,6124.92996724861,38.34,0.0,0.0,7320.075
GEO,Géorgie,Asie,4008716.0,4357.00093554628,15.27,5000.0,51000.0,3373.349
HTI,Haïti,Amérique,10982366.0,1294.23974604323,8.91,0.0,89000.0,7361.197
HND,Honduras,Amérique,9429013.0,2453.72789597457,21.73,1000.0,12000.0,8810.234
HUN,Hongrie,Europe,9729823.0,14605.8543453283,25.27,210000.0,58000.0,1247.24
IND,Inde,Asie,1338676785.0,1981.6510498992,2.22,4000.0,0.0,6594.23
IDN,Indonésie,Asie,264650963.0,3837.65173121117,7.19,0.0,1000.0,11584.25
IRN,Iran (République islamique d'),Asie,80673883.0,5520.31047120905,27.52,45000.0,6000.0,4218.442
IRQ,Iraq,Asie,37552781.0,5205.28825476591,14.95,0.0,470000.0,3867.434
IRL,Irlande,Europe,4753279.0,69822.3470849141,25.82,93000.0,99000.0,778.2031
ISL,Islande,Europe,334393.0,71310.9392562342,29.95,0.0,2000.0,2234.723
ISR,Israël,Asie,8243848.0,40541.8620938968,67.39,3000.0,0.0,3281.899
ITA,Italie,Europe,60673701.0,32406.7203150134,18.88,183000.0,97000.0,1109.901
JAM,Jamaïque,Amérique,2920848.0,5069.18383810726,51.1,1000.0,31000.0,7734.696
JPN,Japon,Asie,127502725.0,38386.5111457057,18.5,10000.0,1069000.0,9725.629
JOR,Jordanie,Asie,9785843.0,4234.40313273963,28.07,10000.0,64000.0,3371.398
KAZ,Kazakhstan,Asie,18080019.0,9247.58133129626,18.27,6000.0,174000.0,5561.785
KEN,Kenya,Afrique,50221142.0,1572.33549593781,0.67,0.0,0.0,6491.402
KGZ,Kirghizistan,Asie,6189733.0,1242.76964282023,3.1,0.0,25000.0,5424.702
KIR,Kiribati,Océanie,114158.0,1640.50010436018,17.98,0.0,1000.0,14371.47
KWT,Koweït,Asie,4056099.0,29759.4364865575,46.25,4000.0,137000.0,4415.222
LSO,Lesotho,Afrique,2091534.0,1150.07917350089,7.93,0.0,15000.0,9054.14
LVA,Lettonie,Europe,1951097.0,15682.2214493267,20.89,20000.0,43000.0,1704.598
LBN,Liban,Asie,6819373.0,7801.17865807555,10.74,4000.0,13000.0,3197.032
LBR,Libéria,Afrique,4702226.0,698.70176435511,10.67,0.0,48000.0,4892.298
LTU,Lituanie,Europe,2845414.0,16885.4073948373,28.19,68000.0,44000.0,1700.296
LUX,Luxembourg,Europe,591910.0,107627.151006695,18.33,1000.0,11000.0,289.1023
MKD,Macédoine du Nord,Europe,2081996.0,5430.87421029797,19.73,1000.0,40000.0,1672.04
MDG,Madagascar,Afrique,25570512.0,515.29272487784,2.87,0.0,0.0,8763.332
MYS,Malaisie,Asie,31104646.0,10259.1817806895,39.21,44000.0,68000.0,10436.4
MWI,Malawi,Afrique,17670196.0,356.717573153369,5.17,0.0,0.0,7650.657
MDV,Maldives,Asie,496402.0,9577.62519371477,13.5,0.0,12000.0,8294.178
MLI,Mali,Afrique,18512430.0,830.018367429228,2.83,0.0,1000.0,4139.756
MLT,Malte,Europe,437933.0,28091.8616473935,27.17,0.0,9000.0,1752.693
MAR,Maroc,Afrique,35581255.0,3036.32525487301,20.96,1000.0,3000.0,1816.853
MUS,Maurice,Afrique,1264499.0,10484.9083620411,37.93,0.0,2000.0,9422.744
