Pays,Disponibilité alimentaire en quantité (kg/personne/an),Exportations - Quantité(Tonnes),Importations - Quantité(Tonnes),Population
Afghanistan,1.53,,29000.0,36296113.0
Afrique du Sud,35.69,63000.0,514000.0,57009756.0
Albanie,16.36,0.0,38000.0,2884169.0
Algérie,6.38,0.0,2000.0,41389189.0
Allemagne,19.47,646000.0,842000.0,82658409.0
Angola,10.56,0.0,277000.0,29816766.0
Antigua-et-Barbuda,54.1,0.0,7000.0,95426.0
Arabie saoudite,43.36,10000.0,722000.0,33101179.0
Argentine,42.24,207000.0,8000.0,43937140.0
Arménie,16.06,0.0,35000.0,2944791.0
Australie,47.65,42000.0,16000.0,24584620.0
Autriche,18.2,78000.0,110000.0,8819901.0
Azerbaïdjan,13.11,0.0,27000.0,9845320.0
Bahamas,43.17,,24000.0,381755.0
Bangladesh,1.5,,0.0,159685424.0
Barbade,46.78,0.0,2000.0,286232.0
Belgique,12.65,656000.0,338000.0,11419748.0
Belize,25.69,0.0,0.0,375769.0
Bolivie (État plurinational de),36.0,1000.0,1000.0,11192855.0
Bosnie-Herzégovine,16.7,8000.0,10000.0,3351525.0
Botswana,3.39,0.0,3000.0,2205080.0
Brésil,48.03,4223000.0,3000.0,207833823.0
Bulgarie,22.06,45000.0,108000.0,7102444.0
Burkina Faso,2.27,,0.0,19193234.0
Bélarus,27.98,152000.0,21000.0,9450231.0
Bénin,14.4,0.0,123000.0,11175198.0
Cabo Verde,17.62,,12000.0,537498.0
Cambodge,2.34,,10000.0,16009409.0
Cameroun,3.16,0.0,0.0,24566073.0
Canada,39.02,163000.0,182000.0,36732095.0
Chili,36.36,115000.0,155000.0,18470439.0
Chine - RAS de Hong-Kong,53.51,663000.0,907000.0,7306322.0
Chine - RAS de Macao,34.47,0.0,23000.0,622585.0
"Chine, Taiwan Province de",33.17,8000.0,161000.0,23674546.0
"Chine, continentale",12.33,576000.0,452000.0,1421021791.0
Chypre,25.08,1000.0,14000.0,1179678.0
Colombie,31.99,2000.0,78000.0,48909839.0
Congo,21.53,0.0,104000.0,5110695.0
Costa Rica,26.52,3000.0,17000.0,4949954.0
Croatie,10.77,17000.0,24000.0,4182857.0
Cuba,23.72,,312000.0,11339254.0
Côte d'Ivoire,2.53,0.0,7000.0,24437470.0
Danemark,28.98,139000.0,133000.0,5732274.0
Djibouti,2.68,,3000.0,944099.0
Dominique,35.19,0.0,4000.0,71458.0
El Salvador,20.43,2000.0,16000.0,6388126.0
Espagne,30.39,212000.0,205000.0,46647428.0
Estonie,21.26,11000.0,21000.0,1319390.0
Eswatini,6.46,0.0,2000.0,1124805.0
Fidji,28.02,0.0,3000.0,877459.0
Finlande,18.76,12000.0,16000.0,5511371.0
France,22.9,501000.0,506000.0,64842509.0
Fédération de Russie,30.98,115000.0,226000.0,145530082.0
Gabon,29.33,0.0,76000.0,2064823.0
Gambie,3.53,,16000.0,2213889.0
Ghana,7.24,0.0,151000.0,29121465.0
Grenade,45.7,,7000.0,110874.0
Grèce,15.32,29000.0,79000.0,10569450.0
Guatemala,20.58,7000.0,129000.0,16914970.0
Guinée,4.08,,37000.0,12067519.0
Guinée-Bissau,2.16,,4000.0,1828145.0
Guyana,38.34,0.0,0.0,775222.0
Géorgie,15.27,5000.0,51000.0,4008716.0
Haïti,8.91,,89000.0,10982366.0
Honduras,21.73,1000.0,12000.0,9429013.0
Hongrie,25.27,210000.0,58000.0,9729823.0
Inde,2.22,4000.0,0.0,1338676785.0
Indonésie,7.19,0.0,1000.0,264650963.0
Iran (République islamique d'),27.52,45000.0,6000.0,80673883.0
Iraq,14.95,0.0,470000.0,37552781.0
Irlande,25.82,93000.0,99000.0,4753279.0
Islande,29.95,0.0,2000.0,334393.0
Israël,67.39,3000.0,0.0,8243848.0
Italie,18.88,183000.0,97000.0,60673701.0
Jamaïque,51.1,1000.0,31000.0,2920848.0
Japon,18.5,10000.0,1069000.0,127502725.0
Jordanie,28.07,10000.0,64000.0,9785843.0
Kazakhstan,18.27,6000.0,174000.0,18080019.0
Kenya,0.67,0.0,0.0,50221142.0
Kirghizistan,3.1,0.0,25000.0,6189733.0
Kiribati,17.98,,1000.0,114158.0
Koweït,46.25,4000.0,137000.0,4056099.0
Lesotho,7.93,0.0,15000.0,2091534.0
Lettonie,20.89,20000.0,43000.0,1951097.0
Liban,10.74,4000.0,13000.0,6819373.0
Libéria,10.67,0.0,48000.0,4702226.0
Lituanie,28.19,68000.0,44000.0,2845414.0
Luxembourg,18.33,1000.0,11000.0,591910.0
Macédoine du Nord,19.73,1000.0,40000.0,2081996.0
Madagascar,2.87,,0.0,25570512.0
Malaisie,39.21,44000.0,68000.0,31104646.0
Malawi,5.17,,0.0,17670196.0
Maldives,13.5,,12000.0,496402.0
Mali,2.83,,1000.0,18512430.0
Malte,27.17,0.0,9000.0,437933.0
Maroc,20.96,1000.0,3000.0,35581255.0
Maurice,37.93,0.0,2000.0,1264499.0
Mauritanie,5.14,,24000.0,4282570.0
Mexique,32.52,9000.0,972000.0,124777324.0
Mongolie,2.77,,10000.0,3113786.0
Monténégro,15.98,0.0,8000.0,627563.0
Mozambique,3.59,,24000.0,28649018.0
Myanmar,30.37,0.0,3000.0,53382523.0
Namibie,11.53,12000.0,29000.0,2402633.0
Nicaragua,21.59,0.0,6000.0,6384846.0
Niger,0.94,0.0,3000.0,21602382.0
Nigéria,1.01,0.0,0.0,190873244.0
Norvège,19.05,0.0,2000.0,5296326.0
Nouvelle-Calédonie,38.71,,9000.0,277150.0
Nouvelle-Zélande,34.79,23000.0,1000.0,4702034.0
Népal,1.99,,0.0,27632681.0
Oman,21.63,16000.0,126000.0,4665928.0
Ouganda,1.52,0.0,0.0,41166588.0
Ouzbékistan,1.96,,,31959785.0
Pakistan,5.86,4000.0,2000.0,207906209.0
Panama,33.82,0.0,20000.0,4106769.0
Paraguay,5.99,4000.0,1000.0,6867061.0
Pays-Bas,20.33,1418000.0,608000.0,17021347.0
Philippines,13.87,2000.0,249000.0,105172925.0
Pologne,30.3,1025000.0,55000.0,37953180.0
Polynésie française,47.4,0.0,15000.0,276102.0
Portugal,30.58,44000.0,82000.0,10288527.0
Pérou,13.47,1000.0,60000.0,31444298.0
Roumanie,19.37,69000.0,146000.0,19653969.0
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,31.94,359000.0,779000.0,66727460.99999999
Rwanda,1.49,0.0,0.0,11980961.0
République centrafricaine,2.29,,4000.0,4596023.0
République de Corée,16.7,6000.0,137000.0,51096415.0
République de Moldova,16.14,0.0,16000.0,4059684.0
République dominicaine,35.26,6000.0,42000.0,10513104.0
République démocratique populaire lao,10.91,,,6953035.0
République populaire démocratique de Corée,1.62,0.0,0.0,25429825.0
République-Unie de Tanzanie,1.88,,2000.0,54660339.0
Saint-Kitts-et-Nevis,55.77,0.0,4000.0,52045.0
Saint-Vincent-et-les Grenadines,72.31,,9000.0,109827.0
Sainte-Lucie,56.69,,10000.0,180954.0
Samoa,64.77,0.0,17000.0,195352.0
Sao Tomé-et-Principe,9.47,,2000.0,207089.0
Serbie,10.16,7000.0,12000.0,8829628.0
Sierra Leone,3.97,0.0,14000.0,7488423.0
Slovaquie,13.9,35000.0,63000.0,5447900.0
Slovénie,24.41,29000.0,20000.0,2076394.0
Soudan,1.6,,2000.0,40813397.0
Sri Lanka,7.78,2000.0,0.0,21128032.0
Suisse,15.72,4000.0,51000.0,8455804.0
Suriname,31.06,5000.0,18000.0,570496.0
Suède,16.6,23000.0,84000.0,9904896.0
Sénégal,4.76,0.0,0.0,15419355.0
Tadjikistan,4.45,,38000.0,8880268.0
Tchad,0.45,0.0,1000.0,15016753.0
Tchéquie,21.96,27000.0,116000.0,10641034.0
Thaïlande,12.95,796000.0,2000.0,69209810.0
Timor-Leste,4.24,,11000.0,1243258.0
Togo,7.06,0.0,16000.0,7698474.0
Trinité-et-Tobago,54.54,0.0,23000.0,1384059.0
Tunisie,17.03,4000.0,0.0,11433443.0
Turkménistan,4.52,,9000.0,5757667.0
Turquie,20.64,429000.0,3000.0,81116450.0
Ukraine,22.62,273000.0,121000.0,44487709.0
Uruguay,9.12,3000.0,3000.0,3436641.0
Vanuatu,11.66,,4000.0,285510.0
Venezuela (République bolivarienne du),20.28,0.0,25000.0,29402484.0
Viet Nam,12.33,1000.0,291000.0,94600648.0
Yémen,8.53,0.0,78000.0,27834819.0
Zambie,3.42,1000.0,12000.0,16853599.0
Zimbabwe,4.68,,6000.0,14236595.0
Égypte,12.96,1000.0,110000.0,96442591.0
Émirats arabes unis,43.47,94000.0,433000.0,9487203.0
Équateur,19.31,0.0,0.0,16785361.0
États-Unis d'Amérique,55.68,3692000.0,123000.0,325084756.0
Éthiopie,0.13,,1000.0,106399924.0
Îles Salomon,4.45,0.0,6000.0,636039.0
