Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Année,Valeur,Note
2,Afghanistan,511,Population totale,3010,Population-Estimations,2017,36296113.0,
202,Afrique du Sud,511,Population totale,3010,Population-Estimations,2017,57009756.0,
3,Albanie,511,Population totale,3010,Population-Estimations,2017,2884169.0,
4,Algérie,511,Population totale,3010,Population-Estimations,2017,41389189.0,
79,Allemagne,511,Population totale,3010,Population-Estimations,2017,82658409.0,
6,Andorre,511,Population totale,3010,Population-Estimations,2017,77001.0,
7,Angola,511,Population totale,3010,Population-Estimations,2017,29816766.0,
258,Anguilla,511,Population totale,3010,Population-Estimations,2017,14584.0,
8,Antigua-et-Barbuda,511,Population totale,3010,Population-Estimations,2017,95426.0,
151,Antilles néerlandaises (ex),511,Population totale,3010,Population-Estimations,2017,275186.0,
194,Arabie saoudite,511,Population totale,3010,Population-Estimations,2017,33101178.999999996,
9,Argentine,511,Population totale,3010,Population-Estimations,2017,43937140.0,
1,Arménie,511,Population totale,3010,Population-Estimations,2017,2944791.0,
22,Aruba,511,Population totale,3010,Population-Estimations,2017,105366.0,
10,Australie,511,Population totale,3010,Population-Estimations,2017,24584620.0,
11,Autriche,511,Population totale,3010,Population-Estimations,2017,8819901.0,
52,Azerbaïdjan,511,Population totale,3010,Population-Estimations,2017,9845320.0,
12,Bahamas,511,Population totale,3010,Population-Estimations,2017,381755.0,
13,Bahreïn,511,Population totale,3010,Population-Estimations,2017,1494076.0,
16,Bangladesh,511,Population totale,3010,Population-Estimations,2017,159685424.0,
14,Barbade,511,Population totale,3010,Population-Estimations,2017,286232.0,
57,Bélarus,511,Population totale,3010,Population-Estimations,2017,9450231.0,
255,Belgique,511,Population totale,3010,Population-Estimations,2017,11419748.0,
23,Belize,511,Population totale,3010,Population-Estimations,2017,375769.0,
53,Bénin,511,Population totale,3010,Population-Estimations,2017,11175198.0,
17,Bermudes,511,Population totale,3010,Population-Estimations,2017,63049.0,
18,Bhoutan,511,Population totale,3010,Population-Estimations,2017,745563.0,
19,Bolivie (État plurinational de),511,Population totale,3010,Population-Estimations,2017,11192855.0,
278,"Bonaire, Saint-Eustache et Saba",511,Population totale,3010,Population-Estimations,2017,25401.0,
80,Bosnie-Herzégovine,511,Population totale,3010,Population-Estimations,2017,3351525.0,
20,Botswana,511,Population totale,3010,Population-Estimations,2017,2205080.0,
21,Brésil,511,Population totale,3010,Population-Estimations,2017,207833823.0,
26,Brunéi Darussalam,511,Population totale,3010,Population-Estimations,2017,424473.0,
27,Bulgarie,511,Population totale,3010,Population-Estimations,2017,7102444.0,
233,Burkina Faso,511,Population totale,3010,Population-Estimations,2017,19193234.0,
29,Burundi,511,Population totale,3010,Population-Estimations,2017,10827019.0,
35,Cabo Verde,511,Population totale,3010,Population-Estimations,2017,537498.0,
115,Cambodge,511,Population totale,3010,Population-Estimations,2017,16009409.0,
32,Cameroun,511,Population totale,3010,Population-Estimations,2017,24566073.0,
33,Canada,511,Population totale,3010,Population-Estimations,2017,36732095.0,
40,Chili,511,Population totale,3010,Population-Estimations,2017,18470439.0,
96,Chine - RAS de Hong-Kong,511,Population totale,3010,Population-Estimations,2017,7306322.0,
128,Chine - RAS de Macao,511,Population totale,3010,Population-Estimations,2017,622585.0,
41,"Chine, continentale",511,Population totale,3010,Population-Estimations,2017,1421021791.0,
214,"Chine, Taiwan Province de",511,Population totale,3010,Population-Estimations,2017,23674546.0,
50,Chypre,511,Population totale,3010,Population-Estimations,2017,1179678.0,
44,Colombie,511,Population totale,3010,Population-Estimations,2017,48909839.0,
45,Comores,511,Population totale,3010,Population-Estimations,2017,813892.0,
46,Congo,511,Population totale,3010,Population-Estimations,2017,5110695.0,
48,Costa Rica,511,Population totale,3010,Population-Estimations,2017,4949954.0,
107,Côte d'Ivoire,511,Population totale,3010,Population-Estimations,2017,24437470.0,
98,Croatie,511,Population totale,3010,Population-Estimations,2017,4182857.0,
49,Cuba,511,Population totale,3010,Population-Estimations,2017,11339254.0,
279,Curaçao,511,Population totale,3010,Population-Estimations,2017,161997.0,
54,Danemark,511,Population totale,3010,Population-Estimations,2017,5732274.0,
72,Djibouti,511,Population totale,3010,Population-Estimations,2017,944099.0,
55,Dominique,511,Population totale,3010,Population-Estimations,2017,71458.0,
59,Égypte,511,Population totale,3010,Population-Estimations,2017,96442591.0,
60,El Salvador,511,Population totale,3010,Population-Estimations,2017,6388126.0,
225,Émirats arabes unis,511,Population totale,3010,Population-Estimations,2017,9487203.0,
58,Équateur,511,Population totale,3010,Population-Estimations,2017,16785361.0,
178,Érythrée,511,Population totale,3010,Population-Estimations,2017,3412893.0,
203,Espagne,511,Population totale,3010,Population-Estimations,2017,46647428.0,
63,Estonie,511,Population totale,3010,Population-Estimations,2017,1319390.0,
209,Eswatini,511,Population totale,3010,Population-Estimations,2017,1124805.0,
231,États-Unis d'Amérique,511,Population totale,3010,Population-Estimations,2017,325084756.0,
238,Éthiopie,511,Population totale,3010,Population-Estimations,2017,106399924.0,
185,Fédération de Russie,511,Population totale,3010,Population-Estimations,2017,145530082.0,
66,Fidji,511,Population totale,3010,Population-Estimations,2017,877459.0,
67,Finlande,511,Population totale,3010,Population-Estimations,2017,5511371.0,
68,France,511,Population totale,3010,Population-Estimations,2017,64842509.0,
74,Gabon,511,Population totale,3010,Population-Estimations,2017,2064822.9999999998,
75,Gambie,511,Population totale,3010,Population-Estimations,2017,2213889.0,
73,Géorgie,511,Population totale,3010,Population-Estimations,2017,4008716.0,
81,Ghana,511,Population totale,3010,Population-Estimations,2017,29121465.0,
82,Gibraltar,511,Population totale,3010,Population-Estimations,2017,33728.0,
84,Grèce,511,Population totale,3010,Population-Estimations,2017,10569450.0,
86,Grenade,511,Population totale,3010,Population-Estimations,2017,110874.0,
85,Groenland,511,Population totale,3010,Population-Estimations,2017,56481.0,
87,Guadeloupe,511,Population totale,3010,Population-Estimations,2017,399672.0,
88,Guam,511,Population totale,3010,Population-Estimations,2017,164281.0,
89,Guatemala,511,Population totale,3010,Population-Estimations,2017,16914970.0,
90,Guinée,511,Population totale,3010,Population-Estimations,2017,12067519.0,
61,Guinée équatoriale,511,Population totale,3010,Population-Estimations,2017,1262002.0,
175,Guinée-Bissau,511,Population totale,3010,Population-Estimations,2017,1828145.0,
91,Guyana,511,Population totale,3010,Population-Estimations,2017,775222.0,
69,Guyane française,511,Population totale,3010,Population-Estimations,2017,275191.0,
93,Haïti,511,Population totale,3010,Population-Estimations,2017,10982366.0,
95,Honduras,511,Population totale,3010,Population-Estimations,2017,9429013.0,
97,Hongrie,511,Population totale,3010,Population-Estimations,2017,9729823.0,
264,Île de Man,511,Population totale,3010,Population-Estimations,2017,83598.0,
259,Îles Anglo-Normandes,511,Population totale,3010,Population-Estimations,2017,168665.0,
36,Îles Caïmanes,511,Population totale,3010,Population-Estimations,2017,63382.0,
47,Îles Cook,511,Population totale,3010,Population-Estimations,2017,17507.0,
65,Îles Falkland (Malvinas),511,Population totale,3010,Population-Estimations,2017,3068.0,
64,Îles Féroé,511,Population totale,3010,Population-Estimations,2017,48331.0,
163,Îles Mariannes du Nord,511,Population totale,3010,Population-Estimations,2017,56562.0,
127,Îles Marshall,511,Population totale,3010,Population-Estimations,2017,58058.0,
25,Îles Salomon,511,Population totale,3010,Population-Estimations,2017,636039.0,
224,Îles Turques-et-Caïques,511,Population totale,3010,Population-Estimations,2017,37115.0,
240,Îles Vierges américaines,511,Population totale,3010,Population-Estimations,2017,104751.0,
239,Îles Vierges britanniques,511,Population totale,3010,Population-Estimations,2017,29577.0,
243,Îles Wallis-et-Futuna,511,Population totale,3010,Population-Estimations,2017,11900.0,
100,Inde,511,Population totale,3010,Population-Estimations,2017,1338676785.0,
101,Indonésie,511,Population totale,3010,Population-Estimations,2017,264650963.0,
102,Iran (République islamique d'),511,Population totale,3010,Population-Estimations,2017,80673883.0,
103,Iraq,511,Population totale,3010,Population-Estimations,2017,37552781.0,
104,Irlande,511,Population totale,3010,Population-Estimations,2017,4753279.0,
99,Islande,511,Population totale,3010,Population-Estimations,2017,334393.0,
105,Israël,511,Population totale,3010,Population-Estimations,2017,8243848.0,
106,Italie,511,Population totale,3010,Population-Estimations,2017,60673701.0,
109,Jamaïque,511,Population totale,3010,Population-Estimations,2017,2920848.0,
110,Japon,511,Population totale,3010,Population-Estimations,2017,127502725.0,
112,Jordanie,511,Population totale,3010,Population-Estimations,2017,9785843.0,
108,Kazakhstan,511,Population totale,3010,Population-Estimations,2017,18080019.0,
